LIBOR	
Aug-00	6.70%	
Sep-00	6.80%	
Oct-00	6.83%	
Nov-00	6.87%	
Dec-00	6.90%	
Jan-01	6.93%	
Feb-01	6.96%	
Mar-01	6.99%	
Apr-01	7.02%	
May-01	7.03%	
Jun-01	7.04%	
Jul-01	7.05%	
Aug-01	7.05%	
Sep-01	7.06%	
Oct-01	7.07%	
Nov-01	7.07%	
Dec-01	7.08%	
Jan-02	7.08%	
Feb-02	7.09%	
Mar-02	7.09%	
Apr-02	7.10%	
May-02	7.10%	
Jun-02	7.10%	
Jul-02	7.10%	
Aug-02	7.10%	
Sep-02	7.10%	
Oct-02	7.10%	
Nov-02	7.11%	
Dec-02	7.11%	
Jan-03	7.11%	
Feb-03	7.11%	
Mar-03	7.11%	
Apr-03	7.11%	
May-03	7.11%	
Jun-03	7.11%	
Jul-03	7.11%	
Aug-03	7.11%	
Sep-03	7.11%	
Oct-03	7.11%	
Nov-03	7.11%	
Dec-03	7.11%	
Jan-04	7.11%	
Feb-04	7.12%	
Mar-04	7.12%	
Apr-04	7.12%	
May-04	7.12%	
Jun-04	7.12%	
Jul-04	7.12%	
Aug-04	7.12%	
Sep-04	7.12%	
Oct-04	7.13%	
Nov-04	7.13%	
Dec-04	7.13%	
Jan-05	7.13%	
Feb-05	7.14%	
Mar-05	7.14%	
Apr-05	7.14%	
May-05	7.14%	
Jun-05	7.15%	
Jul-05	7.15%	
Aug-05	7.15%	
Sep-05	7.16%	
Oct-05	7.16%	
Nov-05	7.16%	
Dec-05	7.17%	
Jan-06	7.17%	
Feb-06	7.18%	
Mar-06	7.18%	
Apr-06	7.19%	
May-06	7.19%	
Jun-06	7.19%	
Jul-06	7.20%	
Aug-06	7.20%	
Sep-06	7.21%	
Oct-06	7.21%	
Nov-06	7.22%	
Dec-06	7.22%	
Jan-07	7.22%	
Feb-07	7.23%	
Mar-07	7.23%	
Apr-07	7.24%	
May-07	7.24%	
Jun-07	7.24%	
Jul-07	7.25%	
Aug-07	7.25%	
Sep-07	7.25%	
Oct-07	7.25%	
Nov-07	7.25%	
Dec-07	7.25%	
Jan-08	7.25%	
Feb-08	7.25%	
Mar-08	7.25%	
Apr-08	7.25%	
May-08	7.25%	
Jun-08	7.25%	
Jul-08	7.25%	
Aug-08	7.25%	
Sep-08	7.25%	
Oct-08	7.25%	
Nov-08	7.25%	
Dec-08	7.25%	
Jan-09	7.25%	
Feb-09	7.25%	
Mar-09	7.25%	
Apr-09	7.25%	
May-09	7.25%	
Jun-09	7.25%	
Jul-09	7.25%	
Aug-09	7.25%	
Sep-09	7.25%	
Oct-09	7.25%	
Nov-09	7.25%	
Dec-09	7.25%	
Jan-10	7.25%	
Feb-10	7.25%	
Mar-10	7.25%	
Apr-10	7.25%	
May-10	7.25%	
Jun-10	7.25%	
Jul-10	7.25%	
Aug-10	7.25%	
Sep-10	7.25%	
Oct-10	7.25%	
Nov-10	7.25%	
Dec-10	7.25%	
Jan-11	7.25%	
Feb-11	7.25%	
Mar-11	7.25%	
Apr-11	7.25%	
May-11	7.25%	
Jun-11	7.25%	
Jul-11	7.25%	
Aug-11	7.25%	
Sep-11	7.25%	
Oct-11	7.25%	
Nov-11	7.25%	
Dec-11	7.25%	
Jan-12	7.25%	
Feb-12	7.25%	
Mar-12	7.25%	
Apr-12	7.25%	
May-12	7.25%	
Jun-12	7.25%	
Jul-12	7.25%	
Aug-12	7.25%	
Sep-12	7.25%	
Oct-12	7.25%	
Nov-12	7.25%	
Dec-12	7.25%	
Jan-13	7.25%	
Feb-13	7.25%	
Mar-13	7.25%	
Apr-13	7.25%	
May-13	7.25%	
Jun-13	7.25%	
Jul-13	7.25%	
Aug-13	7.25%	
Sep-13	7.25%	
Oct-13	7.25%	
Nov-13	7.25%	
Dec-13	7.25%	
Jan-14	7.25%	
Feb-14	7.25%	
Mar-14	7.25%	
Apr-14	7.25%	
May-14	7.25%	
Jun-14	7.25%	
Jul-14	7.25%	
Aug-14	7.25%	
Sep-14	7.25%	
Oct-14	7.25%	
Nov-14	7.25%	
Dec-14	7.25%	
Jan-15	7.25%	
Feb-15	7.25%	
Mar-15	7.25%	
Apr-15	7.25%	
May-15	7.25%	
Jun-15	7.25%	
Jul-15	7.25%	
Aug-15	7.25%	
Sep-15	7.25%	
Oct-15	7.25%	
Nov-15	7.25%	
Dec-15	7.25%	
